original_message,emoji_used,emoji_context_window,translated_meaning,sentiment_detected,emoji_category,target_text,message_type
Had a great day at the zoo 🦁🐒🌿! Can't wait to go back! 😊,🦁-🐒-🌿-😊,4,Had a great day at the zoo! Can't wait to go back!,positive,animal-nature-emotion,Had a great day at the zoo! Can't wait to go back!,daily_status
Had a great day at the beach 🌊☀️😎! Can't wait to go back again!,🌊-☀️-😎,7,Had a great day at the beach and can't wait to go back again!,positive,nature-weather-emotion,Had a great day at the beach and can't wait to go back again!,daily_status
Had a great day at the park 🏞️😊 with friends!,🏞️-😊,7,Had a great day at the park enjoying nature with friends.,positive,nature-emotion,Had a great day at the park enjoying nature with friends.,daily_status
Had a great day at the park! 🌳😊🌞,🌳-😊-🌞,7,Enjoyed a wonderful day outdoors at the park.,positive,nature-emotion-sun,Had a great day at the park!,daily_status
Had a great day at the beach 🏖️😊 with friends! 🌞🌊,🏖️-😊-🌞-🌊,2,I had a great day at the beach with friends enjoying the sun and the waves.,positive,recreation-emotion-nature,Had a great day at the beach with friends! The sun and the waves were amazing.,daily_status
Had a great day at the beach 🏖️😊 with friends! 🌅🌊,🏖️-😊-🌅-🌊,7,I had a great day at the beach with friends and enjoyed the sunset and ocean.,positive,nature-emotion-nature,Had a great day at the beach with friends and enjoyed the sunset and ocean.,social_post
Had a great day at the beach 🏖️🌞! Can't wait to go back!,🏖️-🌞,6,Had a great day at the beach and enjoyed the sunshine! Can't wait to return.,positive,nature-emotion,Had a great day at the beach and enjoyed the sunshine! Can't wait to return.,daily_status
Had a great day at the park 🌳😊 with friends! 🎉✨,🌳-😊-🎉-✨,5,Had a great day at the park with friends!,positive,nature-emotion-celebration-sparkle,Had a great day at the park with friends!,daily_status
Had a great day at the park 🏞️😊 with friends! 🎉,🏞️-😊-🎉,5,Had a great day at the park with friends!,positive,nature-emotion-celebration,Had a great day at the park with friends!,daily_status
Had a great day at the park 🌳☀️🎉,🌳-☀️-🎉,3,Had a great day at the park enjoying sunshine and celebrating.,positive,nature-emotion-celebration,Had a great day at the park enjoying sunshine and celebrating.,daily_status
Had a great day at the park with the family 🏞️😊🎉,🏞️-😊-🎉,6,Had an enjoyable day outdoors with my family celebrating and being happy.,positive,nature-emotion-celebration,Had a great day at the park with the family.,daily_status
Had a great day at the park! 🌳☀️😊,🌳-☀️-😊,4,I had a wonderful day at the park enjoying nature and sunshine with happiness.,positive,nature-celebration-emotion,Had a great day at the park! trees sun happy,daily_status
Had a great day at the park 🌳😊🎉,🌳-😊-🎉,4,Had a great day at the park.,positive,nature-emotion-celebration,Had a great day at the park.,daily_status
Had a great day at the beach 🏖️😊! The weather was perfect and I enjoyed every moment 🌞🌊.,🏖️-😊-🌞-🌊,5,Had a great day at the beach! The weather was perfect and I enjoyed every moment.,positive,nature-emotion-nature-nature,Had a great day at the beach! The weather was perfect and I enjoyed every moment.,daily_status
Celebrating 🎉 with friends tonight! 😀🥳,🎉-😀-🥳,4,Celebrating with friends tonight!,positive,celebration-emotion,Celebrating with friends tonight!,social_post
Had a great day at the park! 🌳😊🎉,🌳-😊-🎉,4,Had a great day at the park!,positive,nature-emotion-celebration,Had a great day at the park!,daily_status
Had an amazing day at the beach 🏖️☀️😁! Can't wait to go back tomorrow 🐚🌊.,🏖️-☀️-😁-🐚-🌊,5,Had an amazing day at the beach and can't wait to go back tomorrow.,positive,emotion-nature-celebration,Had an amazing day at the beach and can't wait to go back tomorrow.,daily_status
Had an amazing day at the beach enjoying the sunshine 🌞🌊🏖️! Can't wait to go back! 😃🎉,🌞-🌊-🏖️-😃-🎉,7,Had an amazing day at the beach enjoying the sunshine and ocean. Can't wait to go back!,positive,nature-celebration-emotion,Had an amazing day at the beach enjoying the sunshine and ocean. Can't wait to go back!,social_post
Had a great day at the park! 🌳😊🎉,🌳-😊-🎉,7,Had a great day at the park with happiness and celebration.,positive,nature-emotion-celebration,Had a great day at the park with happiness and celebration.,daily_status
Had an amazing day at the beach 🏖️ with friends! 🌞😊,🏖️-🌞-😊,7,Had an amazing day at the beach with friends!,positive,nature-emotion,Had an amazing day at the beach with friends!,daily_status
Had a great day at the beach 🏖️☀️🌊! Can't wait to go back tomorrow. 🎉,🏖️-☀️-🌊-🎉,5,Had a great day at the beach and can't wait to go back tomorrow.,positive,nature-celebration,Had a great day at the beach and can't wait to go back tomorrow.,daily_status
Had a great day at the park 🌳😊🌞 with friends!,🌳-😊-🌞,6,Had a great day at the park with friends!,positive,nature-emotion-sun,Had a great day at the park with friends!,daily_status
Had a great day at the park! ☀️🌳😊,☀️-🌳-😊,6,Had a wonderful day at the park.,positive,nature-emotion,Had a great day at the park! Sunny day trees and feeling happy.,daily_status
Had a great day at the beach 🏖️😊! The sun was shining and the water was perfect 🌊🌞.,🏖️-😊-🌊-🌞,8,Had a great day at the beach enjoying sunshine and perfect water.,positive,nature-emotion,Had a great day at the beach enjoying sunshine and perfect water.,daily_status
Had a great day at the beach 🌞🏖️ with friends! 🎉,🌞-🏖️-🎉,6,Had a great day at the beach with friends!,positive,emotion-celebration-nature,Had a great day at the beach with friends!,daily_status
Had a great day at the beach 🌞🌊🏝️! Can't wait to go back!,🌞-🌊-🏝️,7,Had a great day at the beach and can't wait to go back!,positive,nature-celebration,Had a great day at the beach and can't wait to go back!,daily_status
Had a great day at the park 🌳😊🎉! The weather was perfect and I met some lovely people.,🌳-😊-🎉,5,Had a great day at the park! The weather was perfect and I met some lovely people.,positive,nature-emotion-celebration,Had a great day at the park! The weather was perfect and I met some lovely people.,daily_status
Had an amazing dinner 🥳🎉 with friends tonight!,🥳-🎉,5,Had an amazing dinner celebration with friends tonight!,positive,celebration-emotion,Had an amazing dinner celebration with friends tonight!,social_post
Had a great day at the beach 🏖️😊! The sun was shining and I enjoyed the waves 🌊. Can't wait to go back!,🏖️-😊-🌊,4,Had a great day at the beach the sun was shining and I enjoyed the waves. Can't wait to go back!,positive,nature-emotion,Had a great day at the beach the sun was shining and I enjoyed the waves. Can't wait to go back!,daily_status
Just landed in Paris 🇫🇷 and excited to explore! 🗼✈️,🇫🇷-🗼-✈️,4,Just landed in Paris and excited to explore!,positive,place-travel,Just landed in Paris and excited to explore!,personal_feelings
Had a great day at the park with friends 🏞️😊🎉,🏞️-😊-🎉,7,Had a wonderful day at the park with friends.,positive,nature-emotion-celebration,Had a great day at the park with friends.,daily_status
Had a great day at the beach 🌞🌊 with friends! 🎉🏖️,🌞-🌊-🎉-🏖️,5,I had a great day at the beach with friends!,positive,emotion-nature-celebration,Had a great day at the beach with friends!,daily_status
Had a great day at the park with friends! 🌳😊🎉,🌳-😊-🎉,7,Had a great day at the park with friends!,positive,nature-emotion-celebration,Had a great day at the park with friends!,daily_status
Had a great day at the beach 🏖️😊! The sun was shining and I collected so many shells 🐚. Can’t wait to go back!,🏖️-😊-🐚,6,Had a great day at the beach. The sun was shining and I collected so many shells. Can’t wait to go back!,positive,nature-emotion-nature,Had a great day at the beach. The sun was shining and I collected so many shells. Can’t wait to go back!,daily_status
Had a great day at the park with friends 🏞️😊🎉,🏞️-😊-🎉,10,Had a great day at the park with friends.,positive,nature-emotion-celebration,Had a great day at the park with friends.,daily_status
Had a great day at the park 🌳😊🌞! Can't wait to go back tomorrow!,🌳-😊-🌞,6,Had a great day at the park and feeling happy because of the sunshine! Can't wait to go back tomorrow!,positive,nature-emotion-weather,Had a great day at the park and feeling happy because of the sunshine! Can't wait to go back tomorrow!,daily_status
Had a great day at the park 🌞🌳😊! The weather was perfect and I enjoyed the sunshine. 🥰,🌞-🌳-😊-🥰,11,Had a great day at the park. The weather was perfect and I enjoyed the sunshine.,positive,nature-emotion,Had a great day at the park. The weather was perfect and I enjoyed the sunshine.,daily_status
Had a great day at the park 🏞️😊 with friends! 🎉,🏞️-😊-🎉,5,Had a great day enjoying nature with friends and celebrating.,positive,nature-emotion-celebration,Had a great day at the park with friends!,daily_status
Had a great day at the beach 🏖️☀️🌊! Can't wait to go back 🥰,🏖️-☀️-🌊-🥰,7,Had a great day at the beach! Can't wait to go back.,positive,nature-emotion,Had a great day at the beach! Can't wait to go back.,daily_status
Had a great day at the beach 🏖️😊! The sun was shining and I felt so relaxed.,🏖️-😊,7,Had a great day at the beach feeling happy and relaxed.,positive,nature-emotion,Had a great day at the beach feeling happy and relaxed.,daily_status
Had a great day at the beach 🏖️😊 with friends!,🏖️-😊,7,Had a great day at the beach with friends.,positive,nature-emotion,Had a great day at the beach with friends.,daily_status
Had a great day at the beach 🏖️ with friends! 🌞😊,🏖️-🌞-😊,7,Had a great day at the beach with friends!,positive,nature-emotion,Had a great day at the beach with friends!,daily_status
Had a great day at the 🏖️ with friends! 😎🌞,🏖️-😎-🌞,5,Had a great day at the beach with friends! Feeling cool and sunny.,positive,nature-emotion-weather,Had a great day at the beach with friends! Feeling cool and sunny.,daily_status
Had a great day at the park today! ☀️🌳😊,☀️-🌳-😊,7,I had a great day at the park today!,positive,nature-emotion-outdoor,Had a great day at the park today!,daily_status
Had a great day at the beach 🏖️🌞! Can’t wait to go back! 🌊😊,🏖️-🌞-🌊-😊,4,Had a great day at the beach and can’t wait to go back!,positive,nature-celebration-nature-emotion,Had a great day at the beach and can’t wait to go back!,daily_status
Had a great day at the beach! 🌞👙🌊,🌞-👙-🌊,6,I had a great day at the beach!,positive,celebration-fashion-nature,Had a great day at the beach!,daily_status
Had a great day at the beach! 🌞🏖️😊,🌞-🏖️-😊,4,I had a great day at the beach!,positive,nature-celebration-emotion,Had a great day at the beach!,daily_status
Had a great day at the beach 🏖️🌞 with friends! 🎉,🏖️-🌞-🎉,7,Had a great day at the beach with friends!,positive,nature-emotion-celebration,Had a great day at the beach with friends!,social_post
Had a great day at the beach 🏖️☀️😊! Can't wait to go back. 🌊🌴,🏖️-☀️-😊-🌊-🌴,3,Had a great day at the beach and can't wait to go back.,positive,nature-emotion-celebration,Had a great day at the beach and can't wait to go back.,daily_status
Had a great day at the beach 🏖️😊! The sun was shining and the water was perfect 🌊☀️.,🏖️-😊-🌊-☀️,8,I had a great day at the beach. The sun was shining and the water was perfect.,positive,nature-emotion,Had a great day at the beach! The sun was shining and the water was perfect.,daily_status
Had a great day at the park with friends 😊🌳🎉,😊-🌳-🎉,7,I had a great day at the park with friends.,positive,emotion-nature-celebration,Had a great day at the park with friends.,daily_status
Had a great day at the beach 🏖️🌞! Can't wait to go back again 🤗,🏖️-🌞-🤗,8,Had a great day at the beach and can't wait to go back again.,positive,nature-emotion,Had a great day at the beach and can't wait to go back again.,daily_status
Had a great day at the park! ☀️🌳🌸😊,☀️-🌳-🌸-😊,4,Had a great day at the park! The weather was sunny and I enjoyed the trees and flowers feeling happy.,positive,weather-nature-emotion,Had a great day at the park! The weather was sunny and I enjoyed the trees and flowers feeling happy.,daily_status
Had an amazing day at the beach 🏖️😊! The sun was shining and the waves were perfect 🌊✨.,🏖️-😊-🌊-✨,7,Had an amazing day at the beach. The sun was shining and the waves were perfect.,positive,nature-emotion-nature-sparkle,Had an amazing day at the beach. The sun was shining and the waves were perfect.,daily_status
Had an amazing day at the park 🏞️😊 with friends! Can't wait to do it again 🌞🎉,🏞️-😊-🌞-🎉,5,Had an amazing day at the park with friends! Can't wait to do it again.,positive,nature-emotion-celebration,Had an amazing day at the park with friends! Can't wait to do it again.,daily_status
Had a great day at the beach 🏖️🌞 with friends!,🏖️-🌞,6,Had a great day at the beach with friends!,positive,nature-celebration,Had a great day at the beach with friends!,daily_status
Had a great day at the beach! 🌞🌊🏖️,🌞-🌊-🏖️,7,Had a great day enjoying the sun the water and the beach.,positive,nature-celebration,Had a great day at the beach!,daily_status
Had a great day at the beach 🏖️☀️😊! Can't wait to go back soon!,🏖️-☀️-😊,4,Had a great day at the beach and felt happy! Can't wait to go back soon.,positive,nature-emotion,Had a great day at the beach and felt happy! Can't wait to go back soon.,daily_status
Had a great day at the beach 🏖️ with friends! 🌞🌊,🏖️-🌞-🌊,5,Had a great day at the beach with friends!,positive,nature-celebration,Had a great day at the beach with friends!,daily_status
Had a amazing day at the park 🏞️😊🎉,🏞️-😊-🎉,4,Had an amazing day at the park enjoying nature feeling happy and celebrating.,positive,nature-emotion-celebration,Had an amazing day at the park enjoying nature feeling happy and celebrating.,daily_status
Had a great day at the beach 🏖️😊! The weather was perfect and I enjoyed the sun ☀️ everything was just amazing!🌊🥳,🏖️-😊-☀️-🌊-🥳,7,Had a great day at the beach! The weather was perfect and I enjoyed the sun. Everything was just amazing!,positive,nature-emotion-celebration,Had a great day at the beach! The weather was perfect and I enjoyed the sun. Everything was just amazing!,social_post
Had a great day at the beach 🏖️☀️🌊! Can’t wait to go back!,🏖️-☀️-🌊,7,Had a great day at the beach and enjoyed the sunshine and waves. Can't wait to go back!,positive,nature-celebration,Had a great day at the beach and enjoyed the sunshine and waves. Can't wait to go back!,daily_status
Had a fantastic day at the park with friends! ☀️🌳🎉,☀️-🌳-🎉,5,I had a fantastic day at the park with friends.,positive,nature-celebration,Had a fantastic day at the park with friends.,daily_status
Had a great day at the park with friends! 🌳😊🎉,🌳-😊-🎉,7,Had a great day at the park with friends.,positive,nature-emotion-celebration,Had a great day at the park with friends.,daily_status
Had a great day at the park with friends 😊🌳🎉,😊-🌳-🎉,7,I had a great day at the park with friends.,positive,emotion-nature-celebration,Had a great day at the park with friends.,daily_status
Had a great day at the park! 🌳😊🎉,🌳-😊-🎉,4,Had a great day at the park!,positive,nature-emotion-celebration,Had a great day at the park!,daily_status
Had a great day at the park with friends 🏞️😊🎉,🏞️-😊-🎉,7,Had a great day at the park with friends.,positive,nature-emotion-celebration,Had a great day at the park with friends.,daily_status
Had a great day at the beach 🏖️🌞 with friends! 🎉🕶️,🏖️-🌞-🎉-🕶️,5,I had a great day at the beach with friends!,positive,nature-emotion-celebration,Had a great day at the beach with friends!,daily_status
Had a great day at the park with the kids! 🌳😊🎉,🌳-😊-🎉,7,Had a great day at the park with the kids!,positive,nature-emotion-celebration,Had a great day at the park with the kids!,daily_status
Had a great day at the beach 🏖️ with friends! 🌞💦,🏖️-🌞-💦,6,I had a great day at the beach with friends!,positive,nature-emotion,Had a great day at the beach with friends!,daily_status
Had a great day at the beach 🏖️ with friends! 🌞🎉,🏖️-🌞-🎉,5,Had a great day at the beach with friends!,positive,nature-emotion-celebration,Had a great day at the beach with friends!,daily_status
Had an amazing day at the beach 🌊☀️🏖️! Can't wait to go back 🥳.,🌊-☀️-🏖️-🥳,6,Had an amazing day at the beach! Can't wait to go back.,positive,nature-celebration,Had an amazing day at the beach! Can't wait to go back.,daily_status
Had a great day at the beach! 🌞🌊🏖️,🌞-🌊-🏖️,6,Had a great day enjoying the sun waves and the beach.,positive,nature-leisure-outdoor,Had a great day at the beach!,daily_status
Had a great day at the beach 🏖️☀️🌊! Can't wait to go back again!,🏖️-☀️-🌊,7,Had a great day at the beach! Can't wait to go back again!,positive,nature-celebration,Had a great day at the beach! Can't wait to go back again!,daily_status
Had a great day at the park! ☀️🌳🎉,☀️-🌳-🎉,4,Had a great day at the park.,positive,nature-celebration,Had a great day at the park!,daily_status
Had a great day at the park! 🌳😊🌞,🌳-😊-🌞,5,Had a great day at the park!,positive,nature-emotion-weather,Had a great day at the park!,daily_status
Had a great day at the park with friends 🏞️😊🎉,🏞️-😊-🎉,5,Had a wonderful day outdoors with friends celebrating and having fun.,positive,nature-emotion-celebration,Had a great day at the park with friends,daily_status
Had a great day at the beach! 🌞🌊🏖️,🌞-🌊-🏖️,5,Had a great day at the beach!,positive,nature-leisure-vacation,Had a great day at the beach!,daily_status
Had an amazing day at the beach 🏖️😊! Can't wait to go back tomorrow! 🌅🌊,🏖️-😊-🌅-🌊,8,Had an amazing day at the beach and feeling happy! Can't wait to go back tomorrow!,positive,emotion-celebration-nature,Had an amazing day at the beach and feeling happy! Can't wait to go back tomorrow!,daily_status
Had a great day at the beach 🌊☀️😊! Can't wait to go back!,🌊-☀️-😊,5,Had a great day at the beach and is looking forward to returning.,positive,nature-celebration-emotion,Had a great day at the beach and is looking forward to returning.,daily_status
Had a great day at the beach 🏖️😊! The sun was shining and the waves were perfect 🌊☀️.,🏖️-😊-🌊-☀️,12,Had a great day at the beach. The sun was shining and the waves were perfect.,positive,nature-emotion,Had a great day at the beach. The sun was shining and the waves were perfect.,daily_status
Had an amazing day at the beach 🏖️ with friends 😊🎉! Can't wait to go back!,🏖️-😊-🎉,7,Had an amazing day at the beach with friends. Can't wait to go back!,positive,nature-emotion-celebration,Had an amazing day at the beach with friends. Can't wait to go back!,daily_status
Had a great day at the beach 🏖️🌞 with friends! 🎉,🏖️-🌞-🎉,7,Had a great day at the beach with friends!,positive,nature-emotion-celebration,Had a great day at the beach with friends!,social_post
Had a great day at the beach today! 🌞🌊🏄‍♂️,🌞-🌊-🏄,5,I enjoyed a wonderful day at the beach today!,positive,nature-recreation,Had a great day at the beach today!,daily_status
Had a delicious dinner 🍝 with friends tonight! 🎉,🍝-🎉,4,Had a delicious dinner with friends tonight! Celebration.,positive,food-celebration,Had a delicious dinner with friends tonight! Celebration.,social_post
Had a great day at the park with the kids 🧒👧🌳😊,🧒-👧-🌳-😊,8,Had a wonderful day at the park with the children enjoying nature and happiness.,positive,emotion-nature-family,Had a great day at the park with the kids and enjoying nature and happiness.,daily_status
Had a great day at the park 🌳😊🎉! Can't wait to do it again!,🌳-😊-🎉,7,Had a great day at the park and can't wait to do it again.,positive,nature-emotion-celebration,Had a great day at the park and can't wait to do it again.,daily_status
Had a great day at the park with friends 🏞️😊🎉,🏞️-😊-🎉,5,Had a wonderful day at the park with friends.,positive,nature-emotion-celebration,Had a great day at the park with friends.,daily_status
Had a great day at the beach 🏖️😎 with friends! ☀️🌊,🏖️-😎-☀️-🌊,3,Had a great day at the beach with friends!,positive,nature-emotion-celebration,Had a great day at the beach with friends!,social_post
Just finished a great workout! 💪🔥 Ready to conquer the day! ☀️😊,💪-🔥-☀️-😊,7,I just completed an excellent workout and I am feeling motivated to tackle the day.,positive,emotion-celebration-nature,Just finished a great workout! Ready to conquer the day!,daily_status
Just had 🍕 and 🎬 after a long day! 😊,🍕-🎬-😊,12,Just had pizza and watched a movie after a long day! 😊,positive,food-entertainment-emotion,Just had pizza and watched a movie after a long day!,daily_status
Had a great day at the park 🌳☀️🌸 with friends! 🎉,🌳-☀️-🌸-🎉,11,Had a great day at the park with friends!,positive,nature-celebration-emotion,Had a great day at the park with friends!,daily_status
Had a great day at the beach 🏖️🌞 with friends!,🏖️-🌞,6,Had a great day at the beach with friends.,positive,nature-emotion,Had a great day at the beach with friends.,daily_status
Had a great day at the beach 🏖️ with friends! 🌞🌊,🏖️-🌞-🌊,8,Had a great day at the beach with friends! sun and waves.,positive,nature-emotion,Had a great day at the beach with friends! sun and waves.,daily_status
Had a great day at the park with family! 🌳😊🎉,🌳-😊-🎉,5,I had a great day at the park with my family.,positive,nature-emotion-celebration,Had a great day at the park with family!,daily_status
Had an amazing day at the park with friends! 🌳🌞🎉,🌳-🌞-🎉,7,Had an amazing day at the park with friends!,positive,nature-sunshine-celebration,Had an amazing day at the park with friends!,daily_status
Had a great day at the beach 🏖️🌞 with friends! 🎉,🏖️-🌞-🎉,4,Had a great day at the beach with friends!,positive,nature-emotion-celebration,Had a great day at the beach with friends!,daily_status
Just had a great dinner 🍕🎉 with friends!,🍕-🎉,7,I enjoyed a delicious pizza dinner with friends celebrating.,positive,food-celebration-social,Just had a great dinner pizza with friends!,social_post
Had a great day at the park with friends 🏞️😊🎉,🏞️-😊-🎉,8,I had a great day at the park with friends.,positive,nature-emotion-celebration,Had a great day at the park with friends.,daily_status
Had a great day at the beach 🏖️🌞 with friends!,🏖️-🌞,4,I had a great day at the beach with friends.,positive,nature-emotion,Had a great day at the beach with friends.,daily_status
Had a great day at the beach 🏖️🌅 with friends! 🥳,🏖️-🌅-🥳,7,Had a great day at the beach with friends!,positive,nature-celebration,Had a great day at the beach with friends!,daily_status
Had an amazing day at the beach 🏖️☀️🌊! Can't wait to go back!,🏖️-☀️-🌊,7,I had an amazing day at the beach and can't wait to go back.,positive,nature-celebration,Had an amazing day at the beach and can't wait to go back.,daily_status
Had a great day at the park with my friends 🏞️😊🎉,🏞️-😊-🎉,6,Had a great day at the park with friends.,positive,nature-emotion-celebration,Had a great day at the park with my friends.,daily_status
Celebrated my birthday today! 🎉🎂😊,🎉-🎂-😊,5,I celebrated my birthday today!,positive,celebration-food-emotion,Celebrated my birthday today!,personal_feelings
Had an amazing day at the park! 🌳🌞😊,🌳-🌞-😊,7,Had an amazing day at the park!,positive,nature-emotion,Had an amazing day at the park!,daily_status
Had a great day at the beach 🏖️😊! The sun was shining and the waves were perfect 🌊👌.,🏖️-😊-🌊-👌,10,Had a great day at the beach. The sun was shining and the waves were perfect.,positive,nature-emotion,Had a great day at the beach. The sun was shining and the waves were perfect.,daily_status
Had a great day at the park with my family 😊🌳🎉,😊-🌳-🎉,6,I had a great day at the park with my family.,positive,emotion-nature-celebration,Had a great day at the park with my family.,daily_status
Had a great day at the park with my friends 😊🌳☀️!,😊-🌳-☀️,7,Had a great day at the park with my friends.,positive,emotion-nature-weather-social,Had a great day at the park with my friends.,daily_status
Had an amazing day at the beach 🏖️🌞 with friends! 🎉🤗,🏖️-🌞-🎉-🤗,8,I had an amazing day at the beach with friends!,positive,nature-celebration-emotion,Had an amazing day at the beach with friends!,daily_status
Had a great day at the beach 🏖️😊! The sun was shining and I felt so happy 🌞🎉.,🏖️-😊-🌞-🎉,5,Had a great day at the beach feeling happy and joyful.,positive,nature-emotion-celebration,Had a great day at the beach feeling happy and joyful.,daily_status
Had a great day at the beach! 🌊☀️🏖️,🌊-☀️-🏖️,7,I had a great day at the beach!,positive,nature-sun-recreation,Had a great day at the beach!,daily_status
Had a great day at the beach 🏖️ with friends 🌞! Can't wait to go back! 💖,🏖️-🌞-💖,10,Had a great day at the beach with friends! Can't wait to go back!,positive,nature-emotion-celebration,Had a great day at the beach with friends! Can't wait to go back!,daily_status
Had an amazing day at the beach 🏖️☀️😊! Can't wait to go back!,🏖️-☀️-😊,7,Had an amazing day at the beach and I'm happy and excited to go back.,positive,nature-weather-emotion,Had an amazing day at the beach and I'm happy and excited to go back.,daily_status
Had a great day at the park! ☀️🌳😊,☀️-🌳-😊,5,Had a great day enjoying the sunshine and nature at the park.,positive,nature-emotion,Had a great day at the park! sunshine trees and happiness.,daily_status
Enjoyed a lovely day at the beach 🏖️ with friends 🌞🌊!,🏖️-🌞-🌊,14,Enjoyed a lovely day at the beach with friends.,positive,nature-celebration,Enjoyed a lovely day at the beach with friends.,daily_status
Had an amazing day at the park today! 🌳😊🎉,🌳-😊-🎉,7,Had an amazing day at the park today!,positive,nature-emotion-celebration,Had an amazing day at the park today!,daily_status
Had a great day at the park with the family! ☀️🌳😊,☀️-🌳-😊,3,Had a great day at the park with the family!,positive,nature-happiness,Had a great day at the park with the family!,daily_status
Had a great day at the beach 🏖️😊🌅! Can't wait to go back tomorrow!,🏖️-😊-🌅,9,Had a great day at the beach and I'm feeling happy with a beautiful sunset. Can't wait to go back tomorrow.,positive,nature-emotion-nature,Had a great day at the beach and I'm feeling happy with a beautiful sunset. Can't wait to go back tomorrow.,daily_status
Had an amazing day at the park 🌳🌞🎉! Can't wait to go back 🚶‍♂️😊,🌳-🌞-🎉-🚶-😊,4,Had an amazing day at the park! Can't wait to go back.,positive,nature-celebration-emotion,Had an amazing day at the park! Can't wait to go back.,daily_status
Celebrating my promotion 🥳🎉 today! Feeling so proud 🌟,🥳-🎉-🌟,8,Celebrating my promotion today! Feeling so proud.,positive,celebration-emotion-achievement,Celebrating my promotion today! Feeling so proud.,daily_status
Had a great day at the beach 🏖️🌞 with friends! 🌊🎉,🏖️-🌞-🌊-🎉,8,I had a great day at the beach with friends!,positive,nature-emotion-celebration,Had a great day at the beach with friends!,daily_status
Had a great day at the beach 🏖️😊! The sun was shining and the waves were relaxing 🌊✨.,🏖️-😊-🌊-✨,7,Had a great day at the beach. The sun was shining and the waves were relaxing.,positive,nature-emotion-nature-celebration,Had a great day at the beach. The sun was shining and the waves were relaxing.,daily_status
Had a great day at the beach 🏖️☀️😊! Can't wait to go back tomorrow!,🏖️-☀️-😊,8,Had a great day at the beach and felt happy! Can't wait to go back tomorrow!,positive,nature-emotion,Had a great day at the beach and felt happy! Can't wait to go back tomorrow!,daily_status
Had an amazing day at the zoo 🦁🐵😊! Can't wait to go back!,🦁-🐵-😊,7,Had an amazing day at the zoo! Can't wait to go back!,positive,animal-emotion,Had an amazing day at the zoo! Can't wait to go back!,daily_status
Had a great day at the park with friends 🌳😊🎉,🌳-😊-🎉,6,Had a great day at the park with friends.,positive,nature-emotion-celebration,Had a great day at the park with friends.,daily_status
Had a great day at the beach 🏖️☀️🌊! Can't wait to go back tomorrow!,🏖️-☀️-🌊,12,Had a great day at the beach! Can't wait to go back tomorrow!,positive,nature-weather,Had a great day at the beach! Can't wait to go back tomorrow!,daily_status
Having a great day at the park with friends! 🌞🌳🎉,🌞-🌳-🎉,8,Having a great day at the park with friends!,positive,emotion-nature-celebration,Having a great day at the park with friends!,daily_status
Had a great day at the park 🌳☀️ with friends! 🎉,🌳-☀️-🎉,6,Had a great day at the park with friends!,positive,nature-emotion-celebration,Had a great day at the park with friends!,daily_status
Had a great day at the beach 🏖️☀️🌊! Can't wait to go back tomorrow 😊,🏖️-☀️-🌊-😊,25,Had a great day at the beach and can't wait to go back tomorrow.,positive,nature-emotion-celebration,Had a great day at the beach and can't wait to go back tomorrow.,daily_status
Had a great day at the park with my friends! 🌳😊🎉,🌳-😊-🎉,7,Had a great day at the park with my friends!,positive,nature-emotion-celebration,Had a great day at the park with my friends!,daily_status
Had a great day at the beach 🏖️🌞 with friends! 🌊🌴,🏖️-🌞-🌊-🌴,7,Had a great day at the beach with friends!,positive,nature-celebration,Had a great day at the beach with friends!,daily_status
Had a great day at the park with friends! 🌳😊🎉,🌳-😊-🎉,7,I enjoyed a wonderful day outdoors with friends celebrating and feeling happy.,positive,nature-emotion-celebration,Had a great day at the park with friends! Tree smiley face party popper,daily_status
Had a great day at the park! ☀️🌳😊,☀️-🌳-😊,6,Had a great day at the park!,positive,nature-emotion,Had a great day at the park!,daily_status
Had a great day at the beach! 🌞🌊🏖️,🌞-🌊-🏖️,7,I had a great day at the beach.,positive,nature-relaxation-celebration,Had a great day at the beach!,daily_status
Had a great day at the beach 🏖️🌞 with friends! 🎉😊,🏖️-🌞-🎉-😊,5,I had a great day at the beach with friends!,positive,nature-celebration-emotion,Had a great day at the beach with friends!,daily_status
Had a great day at the 🌞 park with friends! 🎉🎈,🌞-🎉-🎈,6,Had a great day at the sunny park with friends! celebration and fun.,positive,emotion-celebration-nature,Had a great day at the sunny park with friends! celebration and fun.,daily_status
Had an amazing day at the beach! 🌞🌊🏖️ Can't wait to go back!,🌞-🌊-🏖️,6,Had an amazing day at the beach! Sun water and sand. Can't wait to go back!,positive,nature-celebration,Had an amazing day at the beach! Sun water and sand. Can't wait to go back!,daily_status
Had a great day at the park 🌳☀️😊! Can't wait to go back!,🌳-☀️-😊,8,Had a great day at the park and can't wait to go back.,positive,nature-weather-emotion,Had a great day at the park and can't wait to go back.,daily_status
Had an amazing day at the beach 🏖️😊! The sun was shining and I felt so happy 🌞🌊.,🏖️-😊-🌞-🌊,5,Had an amazing day at the beach. The sun was shining and I felt so happy.,positive,nature-emotion-nature-nature,Had an amazing day at the beach. The sun was shining and I felt so happy.,daily_status
Had a great day at the park! 🌳😊🎉,🌳-😊-🎉,3,Had a great day at the park!,positive,nature-emotion-celebration,Had a great day at the park!,daily_status
